Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
132	nyt_eng_19940821_0003	is difficult to pinpoint what provoked the departure by Hutu from the refugee camps , where rumors rule and the	extremist	Hutu militia control movements . -LRB- STORY CAN END HERE . OPTIONAL MATERIAL FOLLOWS . -RRB- The refugees from Magara	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=131	32567654	32567654
133	nyt_eng_19940821_0003	Rana , would be charged with investment fraud , they said they believed he provided support to the Filipino Muslim	extremist	Abu Sayyaf group , which worked with Yousef in Manila and may have helped him escape . From its massive	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=132	32622293	32622293
134	nyt_eng_19940821_0003	nationally televised speech that night . Gore revealed the Democratic strategy Monday in his attack on `` this highly partisan	extremist	100-day agenda . '' `` Oh , if you 're the Republican leadership , you win , '' said Gore	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=133	32944011	32944011
135	nyt_eng_19940821_0003	taxpayers earning $ 350,000 a year or more . The rest of the contract , he said , was an	extremist	agenda that does `` a lot of damage '' to the nation 's middle class . But except for one	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=134	32976458	32976458
136	nyt_eng_19940821_0003	The president reiterated his willingness to cooperate with Republicans , but warned that he will veto legislation that he considers	extremist	. Other Democrats gave harsher assessments of the Republican track record . House Minority Leader Richard Gephardt of Missouri dismissed	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=135	34042813	34042813
137	nyt_eng_19940821_0003	assessments of the Republican track record . House Minority Leader Richard Gephardt of Missouri dismissed the GOP agenda as ``	extremist	package of policy slogans '' that sailed through Congress with little serious debate . Among the contract items approved by	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=136	34042839	34042839
138	nyt_eng_19940821_0003	a Lebanese and a national of the United Arab Emirates -- were the `` key leaders '' of a Muslim	extremist	group known as the Islamic Saturday Meeting group . Police said that after the raid , Yousef fled the Philippines	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=137	34169779	34169779
139	nyt_eng_19940821_0003	a Lebanese and a national of the United Arab Emirates -- were the `` key leaders '' of a Muslim	extremist	group known as the Islamic Saturday Meeting group . Police said that after the raid , Yousef fled the Philippines	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=138	34170765	34170765
140	nyt_eng_19940821_0003	settlement of Netzarim , and caused several casualties . `` Certainly what happened here today , this despicable murder by	extremist	suicide attackers , makes it very difficult to see how we can reach a situation in which we will be	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=139	34533901	34533901
141	nyt_eng_19940821_0003	departure should make little difference , '' Gephardt said , `` in terms of our ability to aggressively challenge the	extremist	, anti-middle class agenda being forged by House Republicans . '' Deal 's defection gives Georgia a larger percentage of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=140	34888286	34888286
142	nyt_eng_19940821_0003	Tuesday he seemed eager to temper his uncharacteristically strong words by telling the audience in Columbus that he was no	extremist	. Asked later to explain , he said voters were `` looking for someone with stability , with experience .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=141	35189830	35189830
143	nyt_eng_19940821_0003	`` a betraying little Jew . '' But Dornan claims he has been mischaracterized by the media as a hot-headed	extremist	. `` There are a lot of unfair liberal journalists who are a little bit too much in the '60s	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=142	35800153	35800153
144	nyt_eng_19940821_0003	Van Der Hout said . Philippines Interior Secretary Rafael Alunan has charged that Khalifa tried to influence the rise of	extremist	Islamic fundamentalism in the Philippines -- which has an estimated 6 million Muslims . Fifty-three people died during an attack	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=143	36783594	36783594
145	nyt_eng_19940821_0003	which has an estimated 6 million Muslims . Fifty-three people died during an attack by Abu Sayyaf , a Muslim	extremist	group , on April 4 in the town of Ipil on the island of Mindanao . Sources in the Philippines	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=144	36783621	36783621
146	nyt_eng_19940821_0003	Van Der Hout said . Philippines Interior Secretary Rafael Alunan has charged that Khalifa tried to influence the rise of	extremist	Islamic fundamentalism in the Philippines -- which has an estimated 6 million Muslims . Fifty-three people died during an attack	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=145	36784421	36784421
147	nyt_eng_19940821_0003	which has an estimated 6 million Muslims . Fifty-three people died during an attack by Abu Sayyaf , a Muslim	extremist	group , on April 4 in the town of Ipil on the island of Mindanao . Sources in the Philippines	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=146	36784448	36784448
148	nyt_eng_19940821_0003	slim , -LRB- 2 -RRB- none and -LRB- 3 -RRB- if Dole manages to paint himself as the radical social	extremist	he is n't . Watch and wait , folks . Watch and wait . -LRB- Pat Truly is a columnist	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=147	36851830	36851830
149	nyt_eng_19940821_0003	Island environmentalists . Breaking from a tradition of bipartisan support for environmental legislation , the Republican Congress is pushing ``	extremist	legislation written word for word by lobbyists for polluters , '' Gore said . `` It 's so appalling ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=148	36878967	36878967
150	nyt_eng_19940821_0003	a mosque attack in Israel , a `` Jewish terrorist , '' or to label David Koresh a `` Christian	extremist	. '' `` There are extremists in our community , but our religion is against the killing of innocent people	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=149	37310668	37310668
151	nyt_eng_19940821_0003	All but one or two were from groups that appeared to be Middle Eastern . One other came from an	extremist	`` militia '' that seemed to be some sort of survivalist group . Five members of New York 's joint	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=150	37329158	37329158
152	nyt_eng_19940821_0003	All but one or two were from groups that appeared to be Middle Eastern . One other came from an	extremist	`` militia '' that seemed to be some sort of survivalist group . Five members of New York 's joint	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=151	37357221	37357221
153	nyt_eng_19940821_0003	. '' Speculation about the Oklahoma City bombers ranged Wednesday from surviving members of the Branch Davidian cult to other	extremist	groups . But several experts said the bombing had the earmarks of Islamic fundamentalists such as those responsible for the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=152	37401498	37401498
154	nyt_eng_19940821_0003	experts said that it is unlikely the bombing was done by surviving Branch Davidians , or members of other anti-government	extremist	groups that have venerated Koresh and his followers since their deaths . `` They -LRB- surviving Branch Davidians -RRB- do	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=153	37401966	37401966
155	nyt_eng_19940821_0003	interests here and abroad . Terrorist expert Kupperman speculated that Wednesday 's bombing represented `` the long hand of an	extremist	group , possibly Hezbollah-connected , '' or Iraqi leader Sadam Hussein demonstrating what can be done in the United States	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=154	37402305	37402305
156	nyt_eng_19940821_0003	that we ca n't even protect them in the hinterlands . '' Strozier , of John Jay College , said	extremist	activity is likely to escalate toward the end of this decade . `` These forms of terrorism , once they	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=155	37402381	37402381
157	nyt_eng_19940821_0003	predicted and warned that the United States would no longer be an ` enchanted ' country protected from violence of	extremist	radical terrorists , '' said Bert Ammerman , a spokesman for the group . -LRB- Story can end here .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=156	37540288	37540288
158	nyt_eng_19940821_0003	, counter-terrorism experts in Jerusalem and an Israeli government official said the Oklahoma attack has the apparent mark of Islamic	extremist	groups , particularly the Iranian-backed Hezbollah , or Party of God . `` The modus operandi is very similar to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=157	37541520	37541520
159	nyt_eng_19940821_0003	Boston Globe , Boston , Mass. , 02107 . -RRB- Rep. Bob Dornan wants it known he is not an	extremist	or a curmudgeon or an angry man who loses his temper at the slightest provocation . The California Republican devoted	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=158	37855628	37855628
160	nyt_eng_19940821_0003	sectors is expected by the end of the year . Rep. Bob Dornan wants it known he is not an	extremist	or a curmudgeon or an angry man who loses his temper at the slightest provocation . The California Republican devoted	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=159	37857386	37857386
161	nyt_eng_19940821_0003	watched Nichols explode small bombs behind his home . Computers and telecommunications have made it very easy for members of	extremist	groups to find and talk with each other . They use computer bulletin board systems and the Internet -- the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=160	37951831	37951831
162	nyt_eng_19940821_0003	Dubbed the `` Stormfront Magazine White Nationalist Resource Page , '' it includes white supremacist material and links to other	extremist	sites . There also is a essay called `` Racial Realities : My Indian Odyssey '' by former Louisiana gubernatorial	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=161	37952212	37952212
163	nyt_eng_19940821_0003	candidate David Duke . Karl Lehenbauer , co-owner of NeoSoft , a Houston-based Internet access provider , said that while	extremist	groups make use of the Internet , their numbers remain relatively few . `` Out of about 4 million pages	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=162	37952253	37952253
164	nyt_eng_19940821_0003	these kinds of groups , '' Lehenbauer said . Computers and telecommunications have made it very easy for members of	extremist	groups to find and talk with each other . They use computer bulletin board systems and the Internet -- the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=163	37952305	37952305
165	nyt_eng_19940821_0003	Dubbed the `` Stormfront Magazine White Nationalist Resource Page , '' it includes white supremacist material and links to other	extremist	sites . There also is a essay called `` Racial Realities : My Indian Odyssey '' by former Louisiana gubernatorial	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=164	37952686	37952686
166	nyt_eng_19940821_0003	candidate David Duke . Karl Lehenbauer , co-owner of NeoSoft , a Houston-based Internet access provider , said that while	extremist	groups make use of the Internet , their numbers remain relatively few . `` Out of about 4 million pages	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=165	37952727	37952727
167	nyt_eng_19940821_0003	ultimate patriots , ready to defend the country against its own leaders and ubiquituous enemies . But specialists who study	extremist	groups say the danger is the swelling movement , whose members embrace wild conspiracy theories and use anger as their	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=166	37965222	37965222
168	nyt_eng_19940821_0003	-LRB- Federal Emergency Management Agency -RRB- , '' Shepherd said . Laird Wilcox , a Johnson County author who studies	extremist	organizations , cautioned against connecting the Oklahoma bombing with any specific right-wing group . Several such groups exist in Kansas	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=167	38001414	38001414
169	nyt_eng_19940821_0003	source said that McVeigh and Nichols were closely aligned to each other through family and social ties and through anti-government	extremist	groups . Authorities Friday raided a farm owned by Nichols ' brother , James , in Decker , Mich. .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=168	38023748	38023748
170	nyt_eng_19940821_0003	tragedy from nearly two dozen children in the Oval Office . Reacting to indications that the bombing was linked to	extremist	organizations , the president urged his youthful audience to speak out against hatred and treat each other with respect .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=169	38197639	38197639
171	nyt_eng_19940821_0003	warned that `` if the authority does not take steps , it ultimately will also become a victim of these	extremist	elements . '' But some Israeli officials acknowledge that Arafat has been forced into a tightrope act . Crack down	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=170	38363496	38363496
172	nyt_eng_19940821_0003	directly at America 's heretofore invulnerable and innocent heartland . But when the suspect turned out to be a white	extremist	from a small town near Buffalo , N.Y. , the finger of guilt turned precipitously inward . Suddenly there was	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=171	38385486	38385486
173	nyt_eng_19940821_0003	them in jail while the investigation continues . Meanwhile , federal agents were seeking for questioning the leader of an	extremist	group , Mark Koernke of the Ann Arbor , Mich. , area , who may have ties to McVeigh and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=172	38441627	38441627
174	nyt_eng_19940821_0003	William Koernke , said he `` would n't be surprised '' if federal agents sought Mark Koernke because of his	extremist	statements . William Koernke said he did not know if his brother knew McVeigh or James Nichols . He also	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=173	38442778	38442778
175	nyt_eng_19940821_0003	Saturday in a grim reminder that the horrendous ethnic slaughter that began last spring is not yet over . The	extremist	Hutu militias that incited last year 's mass murder of Tutsi this time appear to have forced their fellow Hutu	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=174	38673959	38673959
176	nyt_eng_19940821_0003	Saturday in a grim reminder that the horrendous ethnic slaughter that began last spring is not yet over . The	extremist	Hutu militias that incited last year 's mass murder of Tutsi this time appear to have forced their fellow Hutu	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=175	38684231	38684231
177	nyt_eng_19940821_0003	helicopters out there -- the Army has unmarked helicopters and so do a number of federal agencies . But the	extremist	groups have taken this to conspiratorial heights . In their view , these helicopters are monitoring patriotic Americans and are	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=176	38700435	38700435
178	nyt_eng_19940821_0003	government into the same corner as David Koresh 's doomed cult . `` You do n't have to be an	extremist	to see that Waco was poorly handled , '' Chandler says . `` The Branch Davidians were stockpiling guns ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=177	38700550	38700550
179	nyt_eng_19940821_0003	and their fans , who thought his accusations were aimed at more than just the short-wave radio networks used by	extremist	paramilitary groups . `` Talk is not a crime . And talk is not the culprit here . Talk did	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=178	38706905	38706905
180	nyt_eng_19940821_0003	any way connected with the disaster in Oklahoma City . -- President Clinton , in a speech cleary aimed at	extremist	paramilitary groups , denounced `` the purveyors of hatred and division . '' And the White House chief of staff	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=179	38718018	38718018
181	nyt_eng_19940821_0003	of the Oklahoma bombing , there is a rush to protect ourselves by giving the government more power to monitor	extremist	groups . But some who have been on the receiving end of government surveilance are urging caution before we surrender	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=180	38778868	38778868
182	nyt_eng_19940821_0003	expressed by members of other `` militias , '' some of whom have been linked to white separatist and paramilitary	extremist	groups . Federal law enforcement officials say the one suspect under arrest in connection with the bombing , Army veteran	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=181	38811289	38811289
183	nyt_eng_19940821_0003	he said . Mary Ann Mauney , a researcher for the Center for Democratic Renewal in Atlanta , which monitors	extremist	groups , said she had heard of the Georgia Militia , `` but we do n't know a whole lot	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=182	38811683	38811683
184	nyt_eng_19940821_0003	and hatred , all it takes is the addition of conspiracy theories , Armageddon visions and martyrdom delusions to make	extremist	violence not merely possible but likely . In McVeigh 's world , the forces around him were both old and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=183	38844412	38844412
185	nyt_eng_19940821_0003	Ariz. , where he was living as recently as early last year , places him right where a particularly vicious	extremist	group , the Arizona Patriots , has operated for nearly a decade and most recently has been conducting weapons and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=184	38844465	38844465
186	nyt_eng_19940821_0003	could be used to foment civil disorder . That , along with making it easier for the authorities to infiltrate	extremist	organizations , is hardly going to produce a police state . New laws , however , neglect that larger sea	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=185	38844823	38844823
187	nyt_eng_19940821_0003	analysts fear someone even more autocratic and anti-western well may grab the helm in Russia . The outrageous words and	extremist	characters that roll in Zhirinovsky 's wake seem to have cost him some popularity in 16 high-profile months as leader	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=186	38882398	38882398
188	nyt_eng_19940821_0003	as Zhirinovsky is labeled in the British tabloids , was dismissed by most Russian media as a buffoon and unwelcome	extremist	before 1993 's parliamentary elections . Yet his inaptly named Liberal Democratic Party drew support than any other party --	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=187	38882481	38882481
189	nyt_eng_19940821_0003	are , as Oklahoma Gov. Frank Keating said , `` crazed radicals ... dangerous and evil people . '' The	extremist	fringe , in the words of the relatively extreme Norman Olson , commander of the Michigan Militia , as he	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=188	38898918	38898918
190	nyt_eng_19940821_0003	was said to have agreed to in advance . Both men want to do all they can to avoid permitting	extremist	politicians like Vladimir Zhirinovsky , head of the ultranationalist Liberal Democratic Party , from again winning in the parliamentary elections	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=189	38964428	38964428
191	nyt_eng_19940821_0003	William Perry Tuesday directed military commanders to remind members of the armed forces of the prohibition against active participation in	extremist	groups that advocate violence . Pentagon spokesman Kenneth Bacon said there was no evidence any active duty military were involved	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=190	38974148	38974148
192	nyt_eng_19940821_0003	or on active duty , for example . While a service member would be allowed to receive literature from an	extremist	group , active participation with a group that advocates the use of force or violence , a discriminatory agenda or	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=191	38974465	38974465
193	nyt_eng_19940821_0003	the way people were feeling about the federal government anyway , '' he said . Those who have studied political	extremist	organizations such as the paramilitary groups that have sprung up around the United States over the last several years said	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=192	38988364	38988364
194	nyt_eng_19940821_0003	's going to turn American against American . '' Clinton , reacting to indications that the bombing is linked to	extremist	anti-government activists , decried the harsh tone of talk show discourse in a speech in Minneapolis . `` We hear	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=193	38997052	38997052
195	nyt_eng_19940821_0003	advisers want to demonize conservatives by labeling them `` right-wing extremists . '' He added , `` Now , right-wing	extremist	is being used to describe the people who blew up this building . ... People who advocate the violent overthrow	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=194	38997364	38997364
196	nyt_eng_19940821_0003	was referring to paramilitary short-wave radio broadcasts or computer bulletin boards . Barton said he is concerned about reports that	extremist	organizations use the Internet to swap information about terrorist tactics . `` What earthly positive societal good comes from having	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=195	38997856	38997856
197	nyt_eng_19940821_0003	seven years in the service at Fort Riley , is in the military intelligence division . He said there are	extremist	groups in the shadows of the base . `` If there was anything in the open , it would be	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=196	39000083	39000083
198	nyt_eng_19940821_0003	, '' an explicitly racist and anti-Semitic work of political fiction that federal officials have called the Bible of the	extremist	right . No one knows whether the assailants in Oklahoma City have read the book , which its author ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=197	39014554	39014554
199	nyt_eng_19940821_0003	` Uncle Tom 's Cabin . ' '' But probably no other book has so influenced the culture of the	extremist	right , experts say . `` ` The Turner Diaries ' is probably the most widely read single book among	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=198	39014614	39014614
200	nyt_eng_19940821_0003	away all guns in citizens ' hands . First published in 1978 , the book is distributed almost exclusively through	extremist	groups and distributors of right wing literature . The book 's heroes begin with what it calls `` socially conscious	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=199	39014785	39014785
201	nyt_eng_19940821_0003	deflect some of the partisan bullets , he made certain his comments were not specifically directed toward conservatives or the	extremist	right wing . `` Even as we defend the right of people to speak freely and to say things with	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=200	39029215	39029215
202	nyt_eng_19940821_0003	the fictional `` Turner Diaries , '' an anti-Semitic , anti-black and anti-government tract that has sold 200,000 copies in	extremist	circles . The plot describes how armed `` patriots '' of the `` Organization '' use sabotage and assassination to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=201	39030173	39030173
203	nyt_eng_19940821_0003	question justified , but it has an easy answer : Sure , there 's a connection between conservative bombast and	extremist	muscle-flexing . Sometimes tangible , sometimes subliminal , it 's been apparent to anybody picking up a newspaper or turning	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=202	39053849	39053849
204	nyt_eng_19940821_0003	found the militia movement too tame and decided to take action on their own , according to people who track	extremist	groups . Terry and James Nichols , two brothers detained as material witnesses in connection with the April 19 explosion	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=203	39068920	39068920
205	nyt_eng_19940821_0003	said the Unabomber might be `` left-leaning '' and despise `` symbols of capitalism . '' His views might be	extremist	, but `` just the opposite of some of some of these extreme militia types . '' The Unabomber has	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=204	39179613	39179613
206	nyt_eng_19940821_0003	-RRB- STORY FIRST SENT : -04 -21 -95 1410EDT Computers and telecommunications have made it very easy for members of	extremist	groups to find and talk with each other . They use computer bulletin board systems and the Internet -- the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=205	39199164	39199164
207	nyt_eng_19940821_0003	Dubbed the `` Stormfront Magazine White Nationalist Resource Page , '' it includes white supremacist material and links to other	extremist	sites . There also is a essay called `` Racial Realities : My Indian Odyssey '' by former Louisiana gubernatorial	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=206	39199545	39199545
208	nyt_eng_19940821_0003	candidate David Duke . Karl Lehenbauer , co-owner of NeoSoft , a Houston-based Internet access provider , said that while	extremist	groups make use of the Internet , their numbers remain relatively few . `` Out of about 4 million pages	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=207	39199586	39199586
209	nyt_eng_19940821_0003	the slaughter , Oklahoma City was the only topic on his three-hour show . Was he unwittingly stoking up the	extremist	, lunatic fringe ? Absolutely not , he responded , `` I have a fine , intelligent , thoughtful audience	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=208	39215309	39215309
210	nyt_eng_19940821_0003	the slaughter , Oklahoma City was the only topic on his three-hour show . Was he unwittingly stoking up the	extremist	, lunatic fringe ? Absolutely not , he responded , `` I have a fine , intelligent , thoughtful audience	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=209	39216059	39216059
211	nyt_eng_19940821_0003	a relatively tiny band of sociopaths ? If we allow the government to repress the Michigan Militia , an anti-government	extremist	group that may or may not have ties to the Oklahoma bombers , how long will it be before the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=210	39266712	39266712
212	nyt_eng_19940821_0003	found the militia movement too tame and decided to take action on their own , according to people who track	extremist	groups . Terry and James Nichols , two brothers who were detained as material witnesses in connection with the explosion	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=211	39275850	39275850
213	nyt_eng_19940821_0003	Kassebaum , there 's no connection . The volatile radio voices are a different matter . Those who study violent	extremist	groups are alarmed by the way these militias differ from their predecessors . Never in our history have the views	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=212	39278343	39278343
214	nyt_eng_19940821_0003	other committee members pressed Deutch for his views on the need for expansion of domestic law enforcement powers to infiltrate	extremist	groups in this country . But he acknowledged that in the post-Cold War world the United States faces threats from	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=213	39293494	39293494
215	nyt_eng_19940821_0003	other committee members pressed Deutch for his views on the need for expansion of domestic law enforcement powers to infiltrate	extremist	groups in this country . But he acknowledged that in the post-Cold War world the United States faces threats from	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=214	39295067	39295067
216	nyt_eng_19940821_0003	If the Oklahoma City bombing is not enough to embolden other would-be GOP presidents to stand up courageously to the	extremist	in their midst , what will ? US Rep. Joseph Kennedy 2d , partly in response to Attorney General Scott	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=215	39300568	39300568
217	nyt_eng_19940821_0003	lust for rhetorical combat with the broadcasters . It fits into the White House strategy of applying the word ``	extremist	'' to proponents of policies that differ from Clinton 's . Evidently this use of the nation 's horror after	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=216	39303872	39303872
